premise,hypothesis,label,label_id
رابعه بلخی را مادر شعر پارسی خوانده‌اند. او بحور و اوزانی را وارد شعر پارسی نموده که تا پیش از آن کسی در آن اوزان شعر نمی‌سروده‌است., مادر شعر پارسی  لقب  رابعه بلخی  می باشد.,e,1
رابعه بلخی را مادر شعر پارسی خوانده‌اند. او بحور و اوزانی را وارد شعر پارسی نموده که تا پیش از آن کسی در آن اوزان شعر نمی‌سروده‌است., نورجهان  ملقب به  مادر شعر پارسی  است.,c,0
رابعه بلخی را مادر شعر پارسی خوانده‌اند. او بحور و اوزانی را وارد شعر پارسی نموده که تا پیش از آن کسی در آن اوزان شعر نمی‌سروده‌است.,عطار در کتاب الهی‌نامه از رابعه سخن گفته است.,n,2
اقبال لاهوری نخستین کسی بود که ایده یک کشور مستقل را برای مسلمانان هند مطرح کرد که در نهایت منجر به ایجاد کشور پاکستان شد.,کشور پاکستان به پیشنهاد اقبال لاهوری ایجاد شد.,e,1
اقبال لاهوری نخستین کسی بود که ایده یک کشور مستقل را برای مسلمانان هند مطرح کرد که در نهایت منجر به ایجاد کشور پاکستان شد.,بینظیر بوتو، پیشنهاد ایجاد کشور پاکستان را داد.,c,0
اقبال لاهوری نخستین کسی بود که ایده یک کشور مستقل را برای مسلمانان هند مطرح کرد که در نهایت منجر به ایجاد کشور پاکستان شد.,اقبال در پاکستان  شاعر ملی  خوانده می‌شود.,n,2
مهمترین نشانه های فرمانروایی شاهان هخامنشی، لباس با شکوه، دبوس، تخت شاهی و تاج آنان بود. یکی دیگر از نشانه های فرمانروایی گزیدن نامی در شان فرمانروایی آنان بود. به طوری که از نام داریوش (دارنده نیکی) بر می آید، باید او این نام را به هنگام تخت نشینی برای خود برگزیده باشد.,از نشانه های فرمانروایی شاهان هخامنشی گزیدن نامی در خور بود.,e,1
مهمترین نشانه های فرمانروایی شاهان هخامنشی، لباس با شکوه، دبوس، تخت شاهی و تاج آنان بود. یکی دیگر از نشانه های فرمانروایی گزیدن نامی در شان فرمانروایی آنان بود. به طوری که از نام داریوش (دارنده نیکی) بر می آید، باید او این نام را به هنگام تخت نشینی برای خود برگزیده باشد.,داشتن قلمرو گسترده از مهمترین نشانه های فرمانروایی پادشاهان هخامنشی بود.,c,0
مهمترین نشانه های فرمانروایی شاهان هخامنشی، لباس با شکوه، دبوس، تخت شاهی و تاج آنان بود. یکی دیگر از نشانه های فرمانروایی گزیدن نامی در شان فرمانروایی آنان بود. به طوری که از نام داریوش (دارنده نیکی) بر می آید، باید او این نام را به هنگام تخت نشینی برای خود برگزیده باشد.,هخامنشیان همان تاجی را بر سر می نهادند که داریوش طراح آن بود.,n,2
محمد اقبال لاهوری یا علامه اقبال، شاعر، فیلسوف، سیاست‌مدار و متفکر مسلمان پاکستانی بود که اشعار زیادی نیز به زبان‌های فارسی و اردو سروده‌است. اقبال در این کشور به‌طور رسمی  شاعر ملی  خوانده می‌شود.,اقبال لاهوری، شاعر ملی پاکستان است.,e,1
محمد اقبال لاهوری یا علامه اقبال، شاعر، فیلسوف، سیاست‌مدار و متفکر مسلمان پاکستانی بود که اشعار زیادی نیز به زبان‌های فارسی و اردو سروده‌است. اقبال در این کشور به‌طور رسمی  شاعر ملی  خوانده می‌شود.,شاعر ملی پاکستان، رحمان بابا می باشد.,c,0
محمد اقبال لاهوری یا علامه اقبال، شاعر، فیلسوف، سیاست‌مدار و متفکر مسلمان پاکستانی بود که اشعار زیادی نیز به زبان‌های فارسی و اردو سروده‌است. اقبال در این کشور به‌طور رسمی  شاعر ملی  خوانده می‌شود.,نیاکان اقبال از قبیله سپروی برهمنان بودند.,n,2
معبد چغازنبیل نیایشگاهی باستانی است که در زمان ایلام (ایلامی‌ها) و در حدود سال هزار و دویست و پنجاه  پیش از میلاد ساخته شده است عظمت این معبد نشان دهنده اوج شکوه تمدن و هنر و معماری ایلامیان است.,اوج شکوفایی هنر ایلامی در معبد چغازنبیل متجلی است.,e,1
معبد چغازنبیل نیایشگاهی باستانی است که در زمان ایلام (ایلامی‌ها) و در حدود سال هزار و دویست و پنجاه  پیش از میلاد ساخته شده است عظمت این معبد نشان دهنده اوج شکوه تمدن و هنر و معماری ایلامیان است.,اوج شکوه هنر و معماری ایلامی در کاخ شوش می باشد.,c,0
معبد چغازنبیل نیایشگاهی باستانی است که در زمان ایلام (ایلامی‌ها) و در حدود سال هزار و دویست و پنجاه  پیش از میلاد ساخته شده است عظمت این معبد نشان دهنده اوج شکوه تمدن و هنر و معماری ایلامیان است.,معبد چغازنبیل نخستین ساختمان مذهبی ایران می‌باشد.,n,2
مادها پس‌ از پیروزی‌ بر آشوریان‌ و تشکیل‌ دولتی‌ نسبتا مقتدر و رسیدن‌ به‌ ثروت‌، به‌ جواهرسازی‌ توجه‌ خاصی‌ نشان‌ دادند. داریوش‌ به‌ هنگام‌ ساخت‌ کاخ‌ شوش‌ جواهرسازانی را به کار گرفت که همگی از‌ این قوم بودند.,داریوش به هنگام ساخت کاخ شوش، از جواهرسازان قوم ماد استفاده کرد.,e,1
مادها پس‌ از پیروزی‌ بر آشوریان‌ و تشکیل‌ دولتی‌ نسبتا مقتدر و رسیدن‌ به‌ ثروت‌، به‌ جواهرسازی‌ توجه‌ خاصی‌ نشان‌ دادند. داریوش‌ به‌ هنگام‌ ساخت‌ کاخ‌ شوش‌ جواهرسازانی را به کار گرفت که همگی از‌ این قوم بودند.,جواهرسازان لیدی در کاخ شوش توسط داریوش به کار گرفته شدند.,c,0
مادها پس‌ از پیروزی‌ بر آشوریان‌ و تشکیل‌ دولتی‌ نسبتا مقتدر و رسیدن‌ به‌ ثروت‌، به‌ جواهرسازی‌ توجه‌ خاصی‌ نشان‌ دادند. داریوش‌ به‌ هنگام‌ ساخت‌ کاخ‌ شوش‌ جواهرسازانی را به کار گرفت که همگی از‌ این قوم بودند.,در سنگ نوشته کاخ شوش داریوش از مصری ها و مادی ها نام می برد.,n,2
شاخه غربی راه شاهی از شوش به سارد و لیدی می رسید و شاخه شرقی این راه درون ایران کنونی بود و از شوش به اکباتان و ری و پارت و بخش های شرقی امپراتوری هخامنشی راه می یافت.,شاخه ی غربی جاده شاهی شهرهای سارد و شوش را به یکدیگر متصل میکرد.,e,1
شاخه غربی راه شاهی از شوش به سارد و لیدی می رسید و شاخه شرقی این راه درون ایران کنونی بود و از شوش به اکباتان و ری و پارت و بخش های شرقی امپراتوری هخامنشی راه می یافت.,شاخه شرقی جاده شاهی سارد را به شوش متصل می نمود.,c,0
شاخه غربی راه شاهی از شوش به سارد و لیدی می رسید و شاخه شرقی این راه درون ایران کنونی بود و از شوش به اکباتان و ری و پارت و بخش های شرقی امپراتوری هخامنشی راه می یافت.,جاده شاهی به فرمان داریوش بزرگ هخامنشی ساخته شد.,n,2
ریاض‌العارفین تذکره‌ای از رضاقلی‌خان هدایت درباره  سیصد و پنجاه و چهار  از عارفان شاعر یا شاعران عارف ایران است., ریاض العارفین  از آثار  رضاقلی‌خان هدایت  می باشد.,e,1
ریاض‌العارفین تذکره‌ای از رضاقلی‌خان هدایت درباره  سیصد و پنجاه و چهار  از عارفان شاعر یا شاعران عارف ایران است., مستعلی شاه شیروانی  نویسنده  ریاض‌العارفین  است.,c,0
ریاض‌العارفین تذکره‌ای از رضاقلی‌خان هدایت درباره  سیصد و پنجاه و چهار  از عارفان شاعر یا شاعران عارف ایران است.,فرهنگ انجمن آرای رضاقلی‌خان در بیان لغت فارسی بی نظیر است.,n,2
در عراق سه گروه بزرگ فرهنگی وجود دارد: عرب های شیعه ( پنجاه و پنج  )، عرب های سنی ( بیست و پنج  ) و کردهای سنی ( بیست  ), پنجاه و پنج  درصد از جمعیت عراق را عرب های شیعه تشکیل داده اند.,e,1
در عراق سه گروه بزرگ فرهنگی وجود دارد: عرب های شیعه ( پنجاه و پنج  )، عرب های سنی ( بیست و پنج  ) و کردهای سنی ( بیست  ),مجموع جمعیت اعراب شیعه و سنی در عراق،  نود   کل جمعیت است.,c,0
در عراق سه گروه بزرگ فرهنگی وجود دارد: عرب های شیعه ( پنجاه و پنج  )، عرب های سنی ( بیست و پنج  ) و کردهای سنی ( بیست  ),کشور عراق دارای اختلافات مذهبی و ناهمگونی زبان است.,n,2
تمایل‌ بابلی‌ها به‌ پیمان‌ با‌ کرزوس‌، با اینکه‌ هیچ‌ نوع‌ کمک‌ ملموسی‌ را از آن‌ها به کرزوس در تاریخ یافت نشده، بهانه‌ حمله‌ کوروش به بابل و بین النهرین را مهیا کرده‌ بود، و ‌میل‌ درونی‌ کورش‌ به‌ کشورگشایی‌ و گسترش‌ قلمرو نیز مزید بر علت بود.,بهانه ای که کوروش را به فکر حمله به بین النهرین انداخت تمایل پیمان بابل با کرزوس بود.,e,1
تمایل‌ بابلی‌ها به‌ پیمان‌ با‌ کرزوس‌، با اینکه‌ هیچ‌ نوع‌ کمک‌ ملموسی‌ را از آن‌ها به کرزوس در تاریخ یافت نشده، بهانه‌ حمله‌ کوروش به بابل و بین النهرین را مهیا کرده‌ بود، و ‌میل‌ درونی‌ کورش‌ به‌ کشورگشایی‌ و گسترش‌ قلمرو نیز مزید بر علت بود.,پیمان آستیاکو با کرزوس بهانه حمله کوروش به بابل و بین النهرین را فراهم آورد.,c,0
تمایل‌ بابلی‌ها به‌ پیمان‌ با‌ کرزوس‌، با اینکه‌ هیچ‌ نوع‌ کمک‌ ملموسی‌ را از آن‌ها به کرزوس در تاریخ یافت نشده، بهانه‌ حمله‌ کوروش به بابل و بین النهرین را مهیا کرده‌ بود، و ‌میل‌ درونی‌ کورش‌ به‌ کشورگشایی‌ و گسترش‌ قلمرو نیز مزید بر علت بود.,کوروش بعد از فتح بابل پسرش کمبوجیه‌ را به‌ سلطنت‌ بابل رساند.,n,2
رضاقلی خان طبرستانی ملقب به لله‌باشی در  هجده  خرداد  هزار و صد و هفتاد و نه  در تهران متولد شد. رضاقلی خان در شیراز به تحصیل دانش پرداخت. در سفر فتحعلی شاه به اصفهان مورد توجه شاه قرار گرفت و لقب امیرالشعرایی یافت. ,فتحعلی شاه به  رضاقلی خان طبرستانی ، عنوان  امیرالشعرایی  داد.,e,1
رضاقلی خان طبرستانی ملقب به لله‌باشی در  هجده  خرداد  هزار و صد و هفتاد و نه  در تهران متولد شد. رضاقلی خان در شیراز به تحصیل دانش پرداخت. در سفر فتحعلی شاه به اصفهان مورد توجه شاه قرار گرفت و لقب امیرالشعرایی یافت. , اعتماد السلطنه  از طرف فتحعلی شاه عنوان  امیرالشعرایی  گرفت.,c,0
رضاقلی خان طبرستانی ملقب به لله‌باشی در  هجده  خرداد  هزار و صد و هفتاد و نه  در تهران متولد شد. رضاقلی خان در شیراز به تحصیل دانش پرداخت. در سفر فتحعلی شاه به اصفهان مورد توجه شاه قرار گرفت و لقب امیرالشعرایی یافت. ,رضاقلی خان از طرف ناصرالدین شاه به ریاست مدرسه دارالفنون رسید.,n,2
مجمع‌الفصحاء (تألیف  هزار و دویست و هشتاد و چهار  قمری) تذکره ادبی مفصلی از رضاقلی‌خان هدایت طبرستانی در شرح احوال و منتخباتی از اشعار  هشتصد و شصت و هفت  شاعر در دو مجلد تدوین یافته‌است. از آنجا که این کتاب بزرگترین تذکره شاعران پارسی‌گوی است، از مآخذ بزرگ شعر فارسی به شمار می‌رود و بسیارند شاعرانی که جز در این تذکره نام و اثری از ایشان بر جای نمانده‌است,بزرگترین تذکره شاعران فارسی‌گو، کتاب  مجمع‌الفصحاء   است.,e,1
مجمع‌الفصحاء (تألیف  هزار و دویست و هشتاد و چهار  قمری) تذکره ادبی مفصلی از رضاقلی‌خان هدایت طبرستانی در شرح احوال و منتخباتی از اشعار  هشتصد و شصت و هفت  شاعر در دو مجلد تدوین یافته‌است. از آنجا که این کتاب بزرگترین تذکره شاعران پارسی‌گوی است، از مآخذ بزرگ شعر فارسی به شمار می‌رود و بسیارند شاعرانی که جز در این تذکره نام و اثری از ایشان بر جای نمانده‌است,کتاب  ریاض العارفین ، بزرگترین تذکره شاعران فارسی‌گو می باشد.,c,0
مجمع‌الفصحاء (تألیف  هزار و دویست و هشتاد و چهار  قمری) تذکره ادبی مفصلی از رضاقلی‌خان هدایت طبرستانی در شرح احوال و منتخباتی از اشعار  هشتصد و شصت و هفت  شاعر در دو مجلد تدوین یافته‌است. از آنجا که این کتاب بزرگترین تذکره شاعران پارسی‌گوی است، از مآخذ بزرگ شعر فارسی به شمار می‌رود و بسیارند شاعرانی که جز در این تذکره نام و اثری از ایشان بر جای نمانده‌است,مجمع‌الفصحاء به تصحیح مظاهر مصفا در سال  سی و شش  تا  چهل  در شش مجلد منتشر شد.,n,2
ابن خلدون معتقد است خودکامگی و ناز و نعمت و تجمل، حکومت را در سراشیبی سالخوردگی قرار می دهد.,ابن خلدون بر این نظر است که خودکامگی و ناز و نعمت و تجمل، منجر به سالخوردگی حکومت می شود.,e,1
ابن خلدون معتقد است خودکامگی و ناز و نعمت و تجمل، حکومت را در سراشیبی سالخوردگی قرار می دهد.,هیچ اندیشمندی جز سید جمال اسدآبادی، دلیل سالخوردگی حکومت را تجمل، ناز و نعمت و خودکامگی عنوان نکرده است.,c,0
ابن خلدون معتقد است خودکامگی و ناز و نعمت و تجمل، حکومت را در سراشیبی سالخوردگی قرار می دهد.,یکی از مهمترین دلایل فرار خردورزان از مرکزیت خلافت اسلامی، نفاق حکمرانان، نیرنگ خلفا و خودکامگی دولت مداران بود.,n,2
کوتیر ناهونته پادشاه ایلام فرمانروایی بابل را به یکی از بازماندگان کاسی سپرد اما او شورش کرد. کوتیر ناهونته برای تلافی این کار سه سال با او می جنگد تا بر او پیروز می شود و دوباره بابل را فتح می کند. به این ترتیب آخرین شاه کاسی از ایلامیان شکست خورده و فرمانروایی کاسی ها بر بابل در سال  هزار و صد و پنجاه و هفت  پیش از میلاد خاتمه می یابد.,در سال  هزار و صد و پنجاه و هفت  قبل از میلاد کوتیر ناهوته حکمران ایلام برای گرفتن انتقام بابل را فتح میکند.,e,1
کوتیر ناهونته پادشاه ایلام فرمانروایی بابل را به یکی از بازماندگان کاسی سپرد اما او شورش کرد. کوتیر ناهونته برای تلافی این کار سه سال با او می جنگد تا بر او پیروز می شود و دوباره بابل را فتح می کند. به این ترتیب آخرین شاه کاسی از ایلامیان شکست خورده و فرمانروایی کاسی ها بر بابل در سال  هزار و صد و پنجاه و هفت  پیش از میلاد خاتمه می یابد.,حمورابی پادشاه ایلام در سال  هزار و صد و پنجاه و هفت  برای گرفتن انتقام، بابل را فتح و آخرین شاه کاسی آنجا را شکست میدهد.,c,0
کوتیر ناهونته پادشاه ایلام فرمانروایی بابل را به یکی از بازماندگان کاسی سپرد اما او شورش کرد. کوتیر ناهونته برای تلافی این کار سه سال با او می جنگد تا بر او پیروز می شود و دوباره بابل را فتح می کند. به این ترتیب آخرین شاه کاسی از ایلامیان شکست خورده و فرمانروایی کاسی ها بر بابل در سال  هزار و صد و پنجاه و هفت  پیش از میلاد خاتمه می یابد.,آخرین شاه کاسی بابل پس از شکست از کوتیر ناهونته، روانه تبعید گاه ایلام شد.,n,2
فروغی بسطامی در نوجوانی در زمان فتحعلی شاه، مدتی را در شهر بسطام به سر برد  وزهمان‌روی به بسطامی منتسب گشت. او چندی را نیز در شهر کرمان، در خدمت حسنعلی میرزا شجاع‌السلطنه گذراند که در همان دوران، بنا به درخواست شجاع‌السلطنه، تخلص خود را به نام فرزند او  فروغ‌الدوله ، فروغی نهاد. فروغی بسطامی تا پیش از آن در شعرهایش، تخلص مسکین را به‌کارمی‌برد.,اولین تخلص فروغی بسطامی  مسکین  بود.,e,1
فروغی بسطامی در نوجوانی در زمان فتحعلی شاه، مدتی را در شهر بسطام به سر برد  وزهمان‌روی به بسطامی منتسب گشت. او چندی را نیز در شهر کرمان، در خدمت حسنعلی میرزا شجاع‌السلطنه گذراند که در همان دوران، بنا به درخواست شجاع‌السلطنه، تخلص خود را به نام فرزند او  فروغ‌الدوله ، فروغی نهاد. فروغی بسطامی تا پیش از آن در شعرهایش، تخلص مسکین را به‌کارمی‌برد., ثابت  نخستین تخلص فروغی بسطامی می باشد.,c,0
فروغی بسطامی در نوجوانی در زمان فتحعلی شاه، مدتی را در شهر بسطام به سر برد  وزهمان‌روی به بسطامی منتسب گشت. او چندی را نیز در شهر کرمان، در خدمت حسنعلی میرزا شجاع‌السلطنه گذراند که در همان دوران، بنا به درخواست شجاع‌السلطنه، تخلص خود را به نام فرزند او  فروغ‌الدوله ، فروغی نهاد. فروغی بسطامی تا پیش از آن در شعرهایش، تخلص مسکین را به‌کارمی‌برد.,فروغی بسطامی از غزل‌سرایان دوره قاجار بود.,n,2
قاآنی در ادبیات عرب و فارسی مهارت کافی یافت و به حکمت نیز علاقه سرشاری داشت ، از این رو فتحعلی‌شاه او را  مجتهدالشعراء  لقب داد و محمدشاه نیز قاآنی را  حسان‌العجم  می‌خواند، زیرا آنچنان در قصیدهسرایی توانایی داشت که مایه شگفتی خوانندگان بود.,لقب  مجتهدالشعراء  از سوی فتحعلی‌شاه به قاآنی داده شد.,e,1
قاآنی در ادبیات عرب و فارسی مهارت کافی یافت و به حکمت نیز علاقه سرشاری داشت ، از این رو فتحعلی‌شاه او را  مجتهدالشعراء  لقب داد و محمدشاه نیز قاآنی را  حسان‌العجم  می‌خواند، زیرا آنچنان در قصیدهسرایی توانایی داشت که مایه شگفتی خوانندگان بود.,محمد شاه به قاآنی لقب  مجتهدالشعراء  را داده است.,c,0
قاآنی در ادبیات عرب و فارسی مهارت کافی یافت و به حکمت نیز علاقه سرشاری داشت ، از این رو فتحعلی‌شاه او را  مجتهدالشعراء  لقب داد و محمدشاه نیز قاآنی را  حسان‌العجم  می‌خواند، زیرا آنچنان در قصیدهسرایی توانایی داشت که مایه شگفتی خوانندگان بود.,پسر قاآنی شاعری با تخلص  سامانی  بوده است.,n,2
قاآنی علاوه بر دیوان اشعارش که در حدود هفده هزار بیت است  کتابی منثور به نام پریشان به تقلید از گلستان سعدی نگاشته که افزون بر تحمیدیه‌ها، هزلیات و حکایاتی پندآموز و تمثیل‌وار و گاهی با واژه‌های رکیک را دربردارد.,کتاب  پریشان  اثر قاآنی به تقلید از کتاب گلستان سعدی نوشته شده است.,e,1
قاآنی علاوه بر دیوان اشعارش که در حدود هفده هزار بیت است  کتابی منثور به نام پریشان به تقلید از گلستان سعدی نگاشته که افزون بر تحمیدیه‌ها، هزلیات و حکایاتی پندآموز و تمثیل‌وار و گاهی با واژه‌های رکیک را دربردارد.,قاآنی کتاب  پریشان  را به تقلید از بوستان سعدی به رشته تحریر در آورده است.,c,0
قاآنی علاوه بر دیوان اشعارش که در حدود هفده هزار بیت است  کتابی منثور به نام پریشان به تقلید از گلستان سعدی نگاشته که افزون بر تحمیدیه‌ها، هزلیات و حکایاتی پندآموز و تمثیل‌وار و گاهی با واژه‌های رکیک را دربردارد.,اشعار قاآنی از دیدگاه لفاظی، به‌کاربردن آرایه‌های شعری و ابتکار در قوافی بی‌همتاست.,n,2
میرزا حبیب‌الله متخلص به قاآنی، فرزند محمدعلی گلشن از شاعران و قصیده‌سرایان بزرگ دربار فتحعلی شاه قاجار، محمدشاه قاجار و آغاز پادشاهی ناصرالدین‌شاه قاجار بود.,قاآنی شاعر دوران قاجار، با سه پادشاه قاجار هم دوره بود.,e,1
میرزا حبیب‌الله متخلص به قاآنی، فرزند محمدعلی گلشن از شاعران و قصیده‌سرایان بزرگ دربار فتحعلی شاه قاجار، محمدشاه قاجار و آغاز پادشاهی ناصرالدین‌شاه قاجار بود.,قاآنی از شاعران دوره قاجار، با یک پادشاه قاجار هم عصر بود.,c,0
میرزا حبیب‌الله متخلص به قاآنی، فرزند محمدعلی گلشن از شاعران و قصیده‌سرایان بزرگ دربار فتحعلی شاه قاجار، محمدشاه قاجار و آغاز پادشاهی ناصرالدین‌شاه قاجار بود.,قاآنی نخستین شاعر ایرانی است که به زبان فرانسه تسلط داشت.,n,2
کتاب مینوی خرد را احمد تفضلی به فارسی امروزی ترجمه کرده‌است و در سال  هزار و سیصد و پنجاه و چهار  چاپ شده‌است.,مترجم کتاب مینوی خرد، احمد تفضلی است.,e,1
کتاب مینوی خرد را احمد تفضلی به فارسی امروزی ترجمه کرده‌است و در سال  هزار و سیصد و پنجاه و چهار  چاپ شده‌است.,یعقوب آژند، مترجم کتاب مینوی خرد می باشد.,c,0
کتاب مینوی خرد را احمد تفضلی به فارسی امروزی ترجمه کرده‌است و در سال  هزار و سیصد و پنجاه و چهار  چاپ شده‌است.,کتاب مینوی خرد در  شصت و سه  فصل تدوین شده‌است.,n,2
